corrected_time_s,distance_m
2795.764,3
2795.817,227
2795.871,226
2795.925,226
2795.966,6
2796.006,9
2796.048,16
2796.089,11
2796.142,226
2796.196,226
2796.237,9
2796.291,226
2796.345,227
2796.399,226
2796.44,16
2796.494,227
2796.548,227
2796.589,16
2796.63,16
2796.684,227
2796.727,50
2796.769,16
2796.822,227
2796.876,226
2796.93,226
2796.983,227
2797.037,227
2797.091,227
2797.145,226
2797.198,226
2797.252,226
2797.306,228
2797.394,228
2797.435,16
2797.522,16
2797.61,16
2797.651,16
2797.692,16
2797.734,17
2797.775,20
2797.816,21
2797.903,21
2797.945,25
2798.032,25
2798.074,29
2798.116,26
2798.159,29
2798.201,29
2798.243,31
2798.331,31
2798.375,69
2798.417,35
2798.504,35
2798.592,35
2798.634,38
2798.688,234
2798.73,39
2798.773,39
2798.86,39
2798.947,39
2799.034,39
2799.088,228
2799.132,71
2799.177,71
2799.221,71
2799.274,228
2799.319,71
2799.372,227
2799.417,70
2799.461,78
2799.506,77
2799.56,228
2799.614,229
2799.659,75
2799.704,74
2799.749,74
2799.802,228
2799.89,228
2799.987,49
2800.03,50
2800.073,56
2800.116,54
2800.16,55
2800.203,53
2800.246,54
2800.333,54
2800.377,54
2800.419,45
2800.463,56
2800.505,41
2800.548,41
2800.591,38
2800.633,36
2800.675,34
2800.717,29
2800.759,30
2800.802,48
2800.846,49
2800.9,231
2800.953,226
2801.007,227
2801.048,6
2801.088,5
2801.128,5
2801.182,235
2801.225,43
2801.279,227
2801.322,44
2801.375,226
2801.429,227
2801.483,227
2801.537,226
2801.591,227
2801.644,227
2801.698,227
2801.752,228
2801.806,227
2801.849,56
2801.903,227
2801.956,226
2802.01,226
2802.064,226
2802.118,226
2802.161,44
2802.215,227
2802.258,44
2802.311,226
2802.365,225
2802.409,47
2802.452,44
2802.495,43
2802.538,43
2802.581,43
2802.635,225
2802.676,16
2802.73,225
2802.773,45
2802.827,225
2802.881,225
2802.934,225
2802.988,224
2803.042,225
2803.096,225
2803.149,225
2803.203,225
2803.257,224
2803.298,9
2803.352,224
2803.396,49
2803.436,9
2803.478,9
2803.532,225
2803.573,16
2803.614,16
2803.656,16
2803.709,225
2803.763,224
2803.804,9
2803.846,16
2803.887,16
2803.928,16
2803.982,225
2804.023,16
2804.077,225
2804.131,225
2804.184,225
2804.226,16
2804.267,16
2804.308,16
2804.362,226
2804.416,226
2804.47,226
2804.523,227
2804.577,227
2804.631,228
2804.718,228
2804.806,228
2804.847,16
2804.949,227
2804.99,16
2805.031,16
2805.073,16
2805.126,228
2805.18,228
2805.234,227
2805.275,16
2805.329,227
2805.383,227
2805.426,49
2805.469,44
2805.512,42
2805.555,45
2805.598,43
2805.642,43
2805.683,16
2805.724,9
2805.778,226
2805.819,16
2805.861,16
2805.902,9
2805.943,16
2805.986,44
2806.04,225
2806.081,9
2806.122,9
2806.164,9
2806.218,225
2806.271,225
2806.313,16
2806.354,16
2806.408,225
2806.461,225
2806.515,225
2806.569,225
2806.623,225
2806.676,225
2806.73,225
2806.784,225
2806.838,225
2806.892,225
2806.945,225
2806.999,225
2807.053,225
2807.107,225
2807.16,225
2807.214,225
2807.268,225
2807.322,225
2807.363,16
2807.417,225
2807.46,50
2807.514,225
2807.555,16
2807.598,46
2807.641,47
2807.695,225
2807.749,224
2807.803,225
2807.844,16
2807.898,225
2807.941,46
2807.995,225
2808.036,9
2808.09,225
2808.143,225
2808.197,225
2808.239,16
2808.28,16
2808.321,16
2808.375,226
2808.416,16
2808.47,226
2808.524,225
2808.567,46
2808.621,226
2808.674,225
2808.718,49
2808.761,57
2808.814,225
2808.868,226
2808.922,225
2808.965,46
2809.009,56
2809.052,45
2809.105,225
2809.148,44
2809.192,44
2809.235,46
2809.289,225
2809.332,45
2809.386,225
2809.439,225
2809.483,45
2809.536,225
2809.59,225
2809.644,225
2809.698,225
2809.751,225
2809.841,16
2809.894,225
2809.948,225
2810.002,225
2810.056,225
2810.109,225
2810.153,46
2810.206,225
2810.26,225
2810.304,50
2810.347,49
2810.39,49
2810.444,225
2810.489,87
2810.542,225
2810.596,225
2810.65,226
2810.693,49
2810.737,50
2810.78,49
2810.823,46
2810.866,49
2810.92,225
2810.963,50
2811.006,46
2811.049,47
2811.093,56
2811.146,225
2811.2,225
2811.243,48
2811.287,49
2811.332,89
2811.375,49
2811.418,46
2811.461,47
2811.504,45
2811.55,87
2811.593,47
2811.636,47
2811.681,84
2811.726,82
2811.772,84
2811.825,225
2811.879,225
2811.933,225
2811.986,225
2812.04,225
2812.094,225
2812.137,50
2812.18,46
2812.234,225
2812.288,225
2812.333,75
2812.38,110
2812.427,112
2812.47,50
2812.517,111
2812.561,49
2812.605,75
2812.653,111
2812.7,112
2812.747,113
2812.794,113
2812.839,75
2812.892,224
2812.94,115
2812.983,56
2813.036,225
2813.09,225
2813.135,76
2813.18,76
2813.226,75
2813.271,75
2813.316,77
2813.359,50
2813.403,50
2813.446,50
2813.489,49
2813.542,225
2813.596,225
2813.643,114
2813.697,225
2813.744,115
2813.787,46
2813.831,50
2813.878,117
2813.931,225
2813.979,119
2814.026,119
2814.069,46
2814.112,46
2814.155,47
2814.203,124
2814.256,225
2814.309,225
2814.363,225
2814.417,225
2814.471,225
2814.524,225
2814.578,225
2814.67,56
2814.713,49
2814.758,77
2814.803,77
2814.846,49
2814.89,49
2814.933,49
2814.978,78
2815.021,47
2815.075,225
2815.121,92
2815.167,94
2815.211,56
2815.257,106
2815.31,225
2815.364,225
2815.417,225
2815.471,225
2815.525,225
2815.579,225
2815.632,226
2815.686,225
2815.729,46
2815.783,225
2815.837,225
2815.891,225
2815.944,225
2815.988,46
2816.041,226
2816.083,16
2816.126,51
2816.18,225
2816.233,225
2816.287,225
2816.341,225
2816.393,196
2816.446,226
2816.5,227
2816.588,227
2816.641,226
2816.695,231
2816.739,49
2816.78,16
2816.824,60
2816.911,60
2816.953,16
2816.995,36
2817.04,73
2817.093,235
2817.138,87
2817.183,83
2817.227,57
2817.313,57
2817.4,57
2817.487,57
2817.575,57
2817.624,157
2817.674,158
2817.724,160
2817.769,70
2817.856,70
2817.943,70
2818.031,70
2818.076,87
2818.122,94
2818.166,69
2818.21,69
2818.255,68
2818.299,70
2818.343,73
2818.385,29
2818.437,193
2818.488,191
2818.576,191
2818.617,16
2818.705,16
2818.746,16
2818.787,17
2818.828,16
2818.87,16
2818.911,16
2818.952,16
2818.994,17
2819.035,15
2819.076,16
2819.117,15
2819.205,15
2819.292,15
2819.38,15
2819.421,14
2819.462,16
2819.503,17
2819.545,18
2819.586,16
2819.627,16
2819.669,17
2819.756,17
2819.797,16
2819.884,16
2819.926,16
2820.021,16
2820.108,16
2820.196,16
2820.283,16
2820.37,16
2820.458,16
2820.499,16
2820.54,16
2820.581,16
2820.669,16
2820.756,16
2820.797,16
2820.885,16
2820.972,16
2821.06,16
2821.147,16
2821.188,16
2821.276,16
2821.363,16
2821.45,16
2821.492,16
2821.533,16
2821.574,12
2821.615,16
2821.703,16
2821.79,16
2821.877,16
2821.965,16
2822.052,16
2822.093,16
2822.181,16
2822.222,17
2822.309,17
2822.351,19
2822.392,19
2822.433,19
2822.475,21
2822.516,18
2822.557,19
2822.599,19
2822.64,19
2822.727,19
2822.77,38
2822.811,18
2822.852,19
2822.893,17
2822.935,20
2822.976,24
2823.017,23
2823.059,25
2823.101,25
2823.143,25
2823.185,25
2823.227,28
2823.269,28
2823.311,28
2823.354,29
2823.396,30
2823.438,31
2823.481,33
2823.523,40
2823.565,36
2823.607,30
2823.649,27
2823.692,29
2823.734,28
2823.776,24
2823.817,22
2823.858,24
2823.899,21
2823.943,52
2823.984,18
2824.071,18
2824.114,52
2824.158,56
2824.201,50
2824.244,49
2824.287,50
2824.33,49
2824.373,49
2824.416,43
2824.504,43
2824.547,49
2824.59,44
2824.633,43
2824.675,19
2824.718,52
2824.761,52
2824.805,56
2824.892,56
2824.979,56
2825.023,58
2825.111,58
2825.198,58
2825.285,58
2825.327,17
2825.368,16
2825.412,64
2825.453,16
2825.495,16
2825.584,17
2825.671,17
2825.759,17
2825.8,16
2825.887,16
2825.929,16
2825.97,16
2826.011,11
2826.052,16
2826.14,16
2826.181,19
2826.222,16
2826.264,16
2826.305,16
2826.392,16
2826.48,16
2826.567,16
2826.654,16
2826.696,16
2826.783,16
2826.824,16
2826.912,16
2826.953,16
2827.04,16
2827.128,16
2827.169,16
2827.256,16
2827.344,16
2827.385,16
2827.426,16
2827.47,61
2827.512,16
2827.553,16
2827.594,16
2827.682,16
2827.769,16
2827.856,16
2827.944,16
2827.985,16
2828.072,16
2828.114,16
2828.155,17
2828.196,16
