time_seconds,ultrawide_depth_m,vehicles_in_frame,people_in_frame,bicycles_in_frame
985.1880000000001,226,0.0,0.0,0.0
985.2410000000001,226,0.0,0.0,0.0
985.2950000000001,226,0.5456400102038135,0.0,0.0
985.349,226,1.0,0.0,0.0
985.403,226,1.0,0.0,0.0
985.456,225,1.0,0.0,0.0
985.51,225,1.0,0.0,0.0
985.5640000000001,225,1.0,0.0,0.0
985.618,225,1.0,0.0,0.0
985.671,226,1.0,0.0,0.0
985.725,225,1.0,0.0,0.0
985.779,225,1.0,0.0,0.0
985.8330000000001,225,0.3134341791796911,0.0,0.0
985.8860000000001,226,1.0,0.0,0.0
985.94,225,1.0,0.0,0.0
985.9910000000001,177,1.0,0.0,0.0
986.042,169,1.0,0.0,0.0
986.091,162,1.0,0.0,0.0
986.1410000000001,154,1.0,0.0,0.0
986.1890000000001,145,1.0,0.0,0.0
986.2370000000001,137,1.0,0.0,0.0
986.2850000000001,129,1.0,0.0,0.0
986.3330000000001,122,1.0,0.0,0.0
986.379,117,1.0,0.0,0.0
986.426,108,1.0,0.0,0.0
986.4720000000001,101,1.0,0.0,0.0
986.518,94,1.0,0.0,0.0
986.5640000000001,87,1.0,0.0,0.0
986.609,82,1.0,0.0,0.0
986.653,77,1.0,0.0,0.0
986.6980000000001,73,1.0,0.0,0.0
986.7420000000001,71,0.041870428482206234,0.0,0.0
986.7860000000001,69,0.72179386404349,0.0,0.0
986.831,68,0.0,0.0,0.0
986.875,68,0.0,0.0,0.0
986.9190000000001,67,0.7315654307932394,0.0,0.0
986.9630000000001,67,0.0,0.0,0.0
987.0070000000001,66,0.0,0.0,0.0
987.051,66,0.0,0.0,0.0
987.095,66,0.0,0.0,0.0
987.1400000000001,69,0.0,0.0,0.0
987.1840000000001,72,0.0,0.0,0.0
987.229,77,0.0,0.0,0.0
987.274,82,0.0,0.0,0.0
987.3190000000001,88,0.0,0.0,0.0
987.365,94,0.0,0.0,0.0
987.4110000000001,100,0.0,0.0,0.0
987.4580000000001,105,0.0,0.0,0.0
987.5110000000001,226,0.0,0.0,0.0
987.565,225,0.0,0.0,0.0
987.618,226,0.0,0.0,0.0
987.672,225,0.0,0.0,0.0
987.726,226,0.0,0.0,0.0
987.7800000000001,225,0.0,0.0,0.0
987.8340000000001,229,0.720008760510284,0.0,0.0
987.8870000000001,225,1.0,0.0,0.0
987.941,226,1.0,0.0,0.0
987.995,226,1.0,0.0,0.0
988.048,225,1.0,0.0,0.0
988.1020000000001,226,1.0,0.0,0.0
988.1560000000001,226,1.0,0.0,0.0
988.21,226,1.0,0.0,0.0
988.263,226,1.0,0.0,0.0
988.317,225,1.0,0.0,0.0
988.3710000000001,226,1.0,0.0,0.0
988.4250000000001,226,1.0,0.0,0.0
988.4780000000001,226,1.0,0.0,0.0
988.532,225,1.0,0.0,0.0
988.586,225,1.0,0.0,0.0
988.6400000000001,226,1.0,0.0,0.0
988.6940000000001,226,1.0,0.0,0.0
988.744,178,1.0,0.0,0.0
988.7950000000001,170,1.0,0.0,0.0
988.844,164,1.0,0.0,0.0
988.894,158,1.0,0.0,0.0
988.9440000000001,151,1.0,0.0,0.0
988.9920000000001,143,0.5379972038357408,0.0,0.0
989.041,136,0.0,0.0,0.0
989.0880000000001,130,0.0,0.0,0.0
989.1360000000001,124,0.0,0.0,0.0
989.183,114,0.0,0.0,0.0
989.23,105,0.0,0.0,0.0
989.3240000000001,91,0.42257450932283463,0.0,0.0
989.37,87,0.1973478541325363,0.0,0.0
989.4150000000001,86,0.0,0.0,0.0
989.46,86,0.0,0.0,0.0
989.505,87,0.0,0.0,0.0
989.5500000000001,86,0.0,0.0,0.0
989.595,86,0.0,0.0,0.0
989.6400000000001,84,0.0,0.0,0.0
989.686,84,0.0,0.0,0.0
989.731,86,0.0,0.0,0.0
989.7760000000001,91,0.0,0.0,0.0
989.8230000000001,100,0.0,0.0,0.0
989.869,109,0.0,0.0,0.0
989.917,117,0.0,0.0,0.0
989.964,122,0.0,0.0,0.0
990.014,168,0.0,0.0,0.0
990.067,225,0.0,0.0,0.0
990.1210000000001,225,0.0,0.0,0.0
990.1750000000001,224,0.0,0.0,0.0
990.2280000000001,210,0.0,0.0,0.0
990.2810000000001,225,0.0,0.0,0.0
990.335,226,0.0,0.0,0.0
990.389,226,0.0,0.0,0.0
990.4430000000001,225,0.0,0.0,0.0
990.4960000000001,226,0.0,0.0,0.0
990.5500000000001,225,0.0,0.0,0.0
990.604,226,0.0,0.0,0.0
990.658,226,0.0,0.0,0.0
990.711,226,0.0,0.0,0.0
990.7650000000001,225,0.0,0.0,0.0
990.8190000000001,226,0.0,0.0,0.0
990.873,225,0.0,0.0,0.0
990.926,226,0.0,0.0,0.0
990.98,225,0.0,0.0,0.0
991.034,226,0.0,0.0,0.0
991.0880000000001,225,0.0,0.0,0.0
991.1410000000001,225,0.0,0.0,0.0
991.195,225,0.0,0.0,0.0
991.249,225,0.0,0.0,0.0
991.303,225,0.0,0.0,0.0
991.3570000000001,225,0.0,0.0,0.0
991.4100000000001,226,0.0,0.0,0.0
991.464,225,0.0,0.0,0.0
991.518,226,0.0,0.0,0.0
991.572,226,0.0,0.0,0.0
991.625,226,0.0,0.0,0.0
991.6790000000001,225,0.0,0.0,0.0
991.7330000000001,226,0.0,0.0,0.0
991.787,226,0.0,0.0,0.0
991.84,226,0.0,0.0,0.0
991.894,225,0.0,0.0,0.0
991.9480000000001,225,0.0,0.0,0.0
992.0020000000001,226,0.0,0.0,0.0
992.0550000000001,225,0.0,0.0,0.0
992.109,225,0.0,0.0,0.0
992.163,226,0.0,0.0,0.0
992.2170000000001,225,0.0,0.0,0.0
992.2700000000001,226,0.0,0.0,0.0
992.3240000000001,226,0.0,0.0,0.0
992.378,225,0.0,0.0,0.0
992.432,225,0.0,0.0,0.0
992.486,226,0.0,0.0,0.0
992.5390000000001,225,0.0,0.0,0.0
992.5930000000001,225,0.0,0.0,0.0
992.647,225,0.0,0.0,0.0
992.701,225,0.0,0.0,0.0
992.754,225,0.0,0.0,0.0
992.808,226,0.0,0.0,0.0
992.8620000000001,225,0.0,0.0,0.0
992.916,225,0.0,0.0,0.0
992.969,225,0.0,0.0,0.0
993.023,225,0.0,0.0,0.0
993.077,225,0.0,0.0,0.0
993.1310000000001,225,0.0,0.0,0.0
993.1840000000001,225,0.0,0.0,0.0
993.238,225,0.0,0.0,0.0
993.292,225,0.0,0.0,0.0
993.346,225,0.0,0.0,0.0
993.399,225,0.0,0.0,0.0
993.4530000000001,226,0.0,0.0,0.0
993.5070000000001,225,0.0,0.0,0.0
993.561,225,0.0,0.0,0.0
993.614,225,0.0,0.0,0.0
993.668,225,0.0,0.0,0.0
993.7220000000001,226,0.0,0.0,0.0
993.7760000000001,225,0.0,0.0,0.0
993.8290000000001,225,0.0,0.0,0.0
993.883,225,0.0,0.0,0.0
993.937,225,0.0,0.0,0.0
993.9910000000001,225,0.0,0.0,0.0
994.0450000000001,226,0.0,0.0,0.0
994.0980000000001,226,0.0,0.0,0.0
994.152,226,0.0,0.0,0.0
994.206,226,0.0,0.0,0.0
994.26,226,0.0,0.0,0.0
994.3130000000001,226,0.0,0.0,0.0
994.3670000000001,225,0.0,0.0,0.0
994.421,226,0.0,0.0,0.0
994.475,225,0.0,0.0,0.0
994.528,226,0.0,0.0,0.0
994.63,226,0.0,0.0,0.0
994.6840000000001,225,0.0,0.0,0.0
994.738,225,0.0,0.0,0.0
994.791,225,0.0,0.0,0.0
994.845,226,0.0,0.0,0.0
994.899,225,0.0,0.0,0.0
994.9530000000001,225,0.0,0.0,0.0
995.0060000000001,225,0.0,0.0,0.0
995.0600000000001,225,0.0,0.0,0.0
995.114,226,0.0,0.0,0.0
995.168,225,0.0,0.0,0.0
995.221,225,0.0,0.0,0.0
995.2750000000001,225,0.0,0.0,0.0
995.3290000000001,226,0.0,0.0,0.0
995.383,226,0.0,0.0,0.0
995.437,225,0.0,0.0,0.0
995.49,225,0.0,0.0,0.0
995.5440000000001,226,0.0,0.0,0.0
995.5980000000001,226,0.0,0.0,0.0
995.652,225,0.0,0.0,0.0
995.705,225,0.0,0.0,0.0
995.759,225,0.0,0.0,0.0
995.8130000000001,226,0.0,0.0,0.0
995.8670000000001,226,0.0,0.0,0.0
995.9200000000001,226,0.0,0.0,0.0
995.974,225,0.0,0.0,0.0
996.028,226,0.0,0.0,0.0
996.082,225,0.0,0.0,0.0
996.135,226,0.0,0.0,0.0
996.1890000000001,225,0.0,0.0,0.0
996.243,226,0.0,0.0,0.0
996.297,226,0.0,0.0,0.0
996.35,226,0.0,0.0,0.0
996.404,225,0.0,0.0,0.0
996.4580000000001,225,0.0,0.0,0.0
996.5120000000001,226,0.0,0.0,0.0
996.565,225,0.0,0.0,0.0
996.619,226,0.0,0.0,0.0
996.673,226,0.0,0.0,0.0
996.7270000000001,226,0.0,0.0,0.0
996.7810000000001,226,0.0,0.0,0.0
996.8340000000001,225,0.0,0.0,0.0
996.888,226,0.0,0.0,0.0
996.942,226,0.0,0.0,0.0
996.9960000000001,226,0.0,0.0,0.0
997.0490000000001,226,0.0,0.0,0.0
997.1030000000001,225,0.0,0.0,0.0
997.157,225,0.0,0.0,0.0
997.211,226,0.0,0.0,0.0
997.264,225,0.0,0.0,0.0
997.3180000000001,225,0.0,0.0,0.0
997.3720000000001,226,0.0,0.0,0.0
997.426,226,0.0,0.0,0.0
997.479,226,0.0,0.0,0.0
997.533,226,0.0,0.0,0.0
997.587,225,0.0,0.0,0.0
997.6410000000001,226,0.0,0.0,0.0
997.6940000000001,226,0.0,0.0,0.0
997.748,225,0.0,0.0,0.0
997.802,226,0.0,0.0,0.0
997.856,226,0.0,0.0,0.0
997.9100000000001,226,0.0,0.0,0.0
997.9630000000001,226,0.0,0.0,0.0
998.017,225,0.0,0.0,0.0
998.071,225,0.0,0.0,0.0
998.125,225,0.0,0.0,0.0
998.178,225,0.0,0.0,0.0
998.2320000000001,226,0.0,0.0,0.0
998.2860000000001,226,0.0,0.0,0.0
998.34,225,0.0,0.0,0.0
998.393,226,0.0,0.0,0.0
998.447,226,0.0,0.0,0.0
998.5010000000001,226,0.0,0.0,0.0
998.5550000000001,225,0.0,0.0,0.0
998.6080000000001,225,0.0,0.0,0.0
998.662,225,0.0,0.0,0.0
998.716,226,0.0,0.0,0.0
998.7700000000001,226,0.0,0.0,0.0
998.8230000000001,226,0.0,0.0,0.0
998.8770000000001,226,0.0,0.0,0.0
998.931,226,0.0,0.0,0.0
998.985,225,0.0,0.0,0.0
999.038,226,0.0,0.0,0.0
999.0920000000001,225,0.0,0.0,0.0
999.1460000000001,226,0.0,0.0,0.0
999.2,225,0.0,0.0,0.0
999.253,225,0.0,0.0,0.0
999.307,225,0.0,0.0,0.0
999.361,225,0.0,0.0,0.0
999.4150000000001,226,0.0,0.0,0.0
999.469,226,0.0,0.0,0.0
999.522,225,0.0,0.0,0.0
999.576,225,0.0,0.0,0.0
999.63,225,0.0,0.0,0.0
999.6840000000001,225,0.0,0.0,0.0
999.7370000000001,226,0.0,0.0,0.0
999.791,225,0.0,0.0,0.0
999.845,225,0.0,0.0,0.0
999.899,226,0.0,0.0,0.0
999.952,225,0.0,0.0,0.0
1000.0600000000001,226,0.0,0.0,0.0
1000.114,226,0.0,0.0,0.0
1000.167,226,0.0,0.0,0.0
1000.221,226,0.0,0.0,0.0
1000.2750000000001,225,0.0,0.0,0.0
1000.3290000000001,225,0.0,0.0,0.0
1000.3820000000001,225,0.0,0.0,0.0
1000.436,225,0.0,0.0,0.0
1000.49,226,0.0,0.0,0.0
1000.5440000000001,225,0.0,0.0,0.0
1000.5980000000001,226,0.0,0.0,0.0
1000.6510000000001,226,0.0,0.0,0.0
1000.705,225,0.0,0.0,0.0
1000.759,225,0.0,0.0,0.0
1000.8130000000001,225,0.0,0.0,0.0
1000.8660000000001,226,0.0,0.0,0.0
1000.9200000000001,226,0.0,0.0,0.0
1000.974,226,0.0,0.0,0.0
1001.028,226,0.0,0.0,0.0
1001.081,225,0.0,0.0,0.0
1001.135,226,0.0,0.0,0.0
1001.1890000000001,226,0.0,0.0,0.0
1001.243,226,0.0,0.0,0.0
1001.296,225,0.0,0.0,0.0
1001.35,225,0.0,0.0,0.0
1001.404,226,0.0,0.0,0.0
1001.4580000000001,226,0.0,0.0,0.0
1001.5110000000001,226,0.0,0.0,0.0
1001.565,225,0.0,0.0,0.0
1001.619,226,0.0,0.0,0.0
1001.673,226,0.0,0.0,0.0
1001.726,225,0.0,0.0,0.0
1001.7800000000001,226,0.0,0.0,0.0
1001.8340000000001,226,0.0,0.0,0.0
1001.888,226,0.0,0.0,0.0
1001.942,226,0.0,0.0,0.0
1001.995,226,0.0,0.0,0.0
1002.0490000000001,226,0.0,0.0,0.0
1002.1030000000001,226,0.0,0.0,0.0
1002.157,226,0.0,0.0,0.0
1002.21,226,0.0,0.0,0.0
1002.264,225,0.0,0.0,0.0
1002.3180000000001,225,0.0,0.0,0.0
1002.3720000000001,225,0.0,0.0,0.0
1002.4250000000001,225,0.0,0.0,0.0
1002.479,226,0.0,0.0,0.0
1002.533,225,0.0,0.0,0.0
1002.587,226,0.0,0.0,0.0
1002.6400000000001,226,0.0,0.0,0.0
1002.6940000000001,225,0.0,0.0,0.0
1002.748,225,0.0,0.0,0.0
1002.802,225,0.0,0.0,0.0
1002.855,226,0.0,0.0,0.0
1002.909,226,0.0,0.0,0.0
1002.9630000000001,225,0.0,0.0,0.0
1003.017,226,0.0,0.0,0.0
1003.07,226,0.0,0.0,0.0
1003.124,226,0.0,0.0,0.0
1003.178,226,0.0,0.0,0.0
1003.2320000000001,226,0.0,0.0,0.0
1003.2850000000001,225,0.0,0.0,0.0
1003.339,225,0.0,0.0,0.0
1003.393,226,0.0,0.0,0.0
1003.447,226,0.0,0.0,0.0
1003.5010000000001,225,0.0,0.0,0.0
1003.5540000000001,225,0.0,0.0,0.0
1003.6080000000001,226,0.0,0.0,0.0
1003.662,226,0.0,0.0,0.0
1003.716,226,0.0,0.0,0.0
1003.769,226,0.0,0.0,0.0
1003.8230000000001,226,0.0,0.0,0.0
1003.8770000000001,226,0.0,0.0,0.0
1003.931,226,0.0,0.0,0.0
1003.984,225,0.0,0.0,0.0
1004.038,225,0.0,0.0,0.0
1004.0920000000001,226,0.0,0.0,0.0
1004.1460000000001,225,0.0,0.0,0.0
1004.1990000000001,225,0.0,0.0,0.0
1004.253,226,0.0,0.0,0.0
1004.307,226,0.0,0.0,0.0
1004.361,226,0.0,0.0,0.0
1004.4140000000001,226,0.0,0.0,0.0
1004.4680000000001,226,0.0,0.0,0.0
1004.522,225,0.0,0.0,0.0
1004.576,226,0.0,0.0,0.0
1004.629,225,0.0,0.0,0.0
1004.683,226,0.0,0.0,0.0
1004.7370000000001,225,0.0,0.0,0.0
1004.791,225,0.0,0.0,0.0
1004.845,225,0.0,0.0,0.0
1004.898,225,0.0,0.0,0.0
1004.952,226,0.0,0.0,0.0
1005.0060000000001,225,0.0,0.0,0.0
1005.0600000000001,225,0.0,0.0,0.0
1005.113,225,0.0,0.0,0.0
1005.167,225,0.0,0.0,0.0
1005.221,226,0.0,0.0,0.0
1005.2750000000001,225,0.0,0.0,0.0
1005.3280000000001,225,0.0,0.0,0.0
1005.3820000000001,225,0.0,0.0,0.0
1005.484,225,0.0,0.0,0.0
1005.538,225,0.0,0.0,0.0
1005.591,225,0.0,0.0,0.0
1005.6450000000001,225,0.0,0.0,0.0
1005.6990000000001,225,0.0,0.0,0.0
1005.753,226,0.0,0.0,0.0
1005.806,225,0.0,0.0,0.0
1005.86,225,0.0,0.0,0.0
1005.9140000000001,225,0.0,0.0,0.0
1005.9680000000001,226,0.0,0.0,0.0
1006.022,226,0.0,0.0,0.0
1006.075,226,0.0,0.0,0.0
1006.129,225,0.0,0.0,0.0
1006.183,226,0.0,0.0,0.0
1006.2370000000001,225,0.0,0.0,0.0
1006.2900000000001,226,0.0,0.0,0.0
1006.344,226,0.0,0.0,0.0
1006.398,226,0.0,0.0,0.0
1006.452,225,0.0,0.0,0.0
1006.505,225,0.0,0.0,0.0
1006.5590000000001,225,0.0,0.0,0.0
1006.613,226,0.0,0.0,0.0
1006.667,226,0.0,0.0,0.0
1006.72,225,0.0,0.0,0.0
1006.774,225,0.0,0.0,0.0
1006.8280000000001,225,0.0,0.0,0.0
1006.8820000000001,225,0.0,0.0,0.0
1006.9350000000001,226,0.0,0.0,0.0
1006.989,226,0.0,0.0,0.0
1007.043,225,0.0,0.0,0.0
1007.0970000000001,225,0.0,0.0,0.0
1007.1500000000001,226,0.0,0.0,0.0
1007.2040000000001,226,0.0,0.0,0.0
1007.258,225,0.0,0.0,0.0
1007.312,226,0.0,0.0,0.0
1007.3660000000001,226,0.0,0.0,0.0
1007.4190000000001,226,0.0,0.0,0.0
1007.4730000000001,225,0.0,0.0,0.0
1007.527,225,0.0,0.0,0.0
1007.581,226,0.0,0.0,0.0
1007.634,226,0.0,0.0,0.0
1007.6880000000001,226,0.0,0.0,0.0
1007.7420000000001,226,0.0,0.0,0.0
1007.796,226,0.0,0.0,0.0
1007.849,226,0.0,0.0,0.0
1007.903,226,0.0,0.0,0.0
1007.957,225,0.0,0.0,0.0
1008.0110000000001,225,0.0,0.0,0.0
1008.0640000000001,226,0.0,0.0,0.0
1008.118,225,0.0,0.0,0.0
1008.172,225,0.0,0.0,0.0
1008.226,226,0.0,0.0,0.0
1008.279,226,0.0,0.0,0.0
1008.3330000000001,226,0.0,0.0,0.0
1008.3870000000001,226,0.0,0.0,0.0
1008.441,225,0.0,0.0,0.0
1008.494,225,0.0,0.0,0.0
1008.548,226,0.0,0.0,0.0
1008.6020000000001,225,0.0,0.0,0.0
1008.6560000000001,226,0.0,0.0,0.0
